Mall,ThingsToDo1,ThingsToDo2,ThingsToDo3,MRT,Region,Expenditure,Traffic,Rating,Review,MRT_Review
City Square Mall,Enjoy eco-friendly shopping,dine at family restaurants,play at indoor kids zones,Farrer Park MRT,Central,Low,Medium,4/5,Convenient mall with decent shopping and dining options,located near Farrer Park MRT Station
Funan,Explore tech,cycling,lifestyle brands,climb indoor wall,Central,Medium,High,4.5/5,A tech lover's paradise with a modern design and plenty of dining options,City Hall MRT Station
Great World City,Shop at upscale retail stores,watch movies at Golden Village,dine at various cafés,Great World MRT,Central,Medium,High,4/5,Spacious mall with a good selection of stores,but not as busy as other malls
ION Orchard,Shop at luxury brands,dine at fine restaurants and food halls,enjoy ION Sky observatory,Orchard MRT,Central,High,High,4.5/5,Iconic and luxury shopping mall with a stunning design and high-end retail options,Orchard MRT Station
Junction 8,Shop at various retail stores,dine at diverse food outlets,access essential services like supermarkets,Bishan MRT,North,Medium,Medium,4/5,A reliable neighborhood mall with good retail and dining options,but lacks large-scale attractions
The Shoppes at Marina Bay Sands,Shop at world-class luxury brands,dine at celebrity restaurants,enjoy canal rides and casino access,Bayfront MRT,Central,High,High,5/5,Premium mall with luxurious shopping,dining
Marina Square,Shop for fashion,electronics and toys,dine at family-friendly restaurants,Esplanade MRT,Central,Medium,High,4/5,Popular mall offering diverse shopping and dining options,Esplanade MRT Station
Orchard Central,Shop at fashion and lifestyle outlets,explore vertical mall architecture,dine at rooftop restaurants,Somerset MRT,Central,Medium,High,4/5,Good for fashion and food,with a unique rooftop garden
Plaza Singapura,Shop for mainstream fashion and music,catch movies at Golden Village,dine at basement eateries,Dhoby Ghaut MRT,Central,Medium,High,4/5,Convenient mall with a solid mix of retail and dining options,Dhoby Ghaut MRT Station
Shaw House and Centre,Shop at Isetan department store,catch movies at Lido,dine at Orchard eateries,Orchard MRT,Central,Medium,High,4/5,Conveniently located with a mix of fashion and dining options,Orchard MRT Station
Suntec City,Shop across themed zones,dine at Fountain Terrace,attend events at the convention centre,Promenade MRT,Central,High,High,4.5/5,Large mall with extensive shopping,dining
