Mall,ThingsToDo1,ThingsToDo2,ThingsToDo3,MRT,Region,Expenditure,Traffic,Rating,Review,MRT_Review,LATITUDE,LONGITUDE
City Square Mall,Enjoy eco-friendly shopping,dine at family restaurants,play at indoor kids zones,Farrer Park MRT,Central,Low,Medium,4/5,Convenient mall with decent shopping and dining options,located near Farrer Park MRT Station,1.3113827185663,103.856626855768
Funan,Explore tech,cycling,lifestyle brands,climb indoor wall,Central,Medium,High,4.5/5,A tech lover's paradise with a modern design and plenty of dining options,City Hall MRT Station,1.29134759697794,103.849989790085
Great World City,Shop at upscale retail stores,watch movies at Golden Village,dine at various cafés,Great World MRT,Central,Medium,High,4/5,Spacious mall with a good selection of stores,but not as busy as other malls,1.29342272650003,103.832022146655
ION Orchard,Shop at luxury brands,dine at fine restaurants and food halls,enjoy ION Sky observatory,Orchard MRT,Central,High,High,4.5/5,Iconic and luxury shopping mall with a stunning design and high-end retail options,Orchard MRT Station,1.30399286856099,103.831988903795
Junction 8,Shop at various retail stores,dine at diverse food outlets,access essential services like supermarkets,Bishan MRT,North,Medium,Medium,4/5,A reliable neighborhood mall with good retail and dining options,but lacks large-scale attractions,1.35017243180201,103.848553703258
Junction 8,Shop at various retail stores,dine at diverse food outlets,access essential services like supermarkets,Bishan MRT,North,Medium,Medium,4/5,A reliable neighborhood mall with good retail and dining options,but lacks large-scale attractions,1.35017243180201,103.848553703258
The Shoppes at Marina Bay Sands,Shop at world-class luxury brands,dine at celebrity restaurants,enjoy canal rides and casino access,Bayfront MRT,Central,High,High,5/5,Premium mall with luxurious shopping,dining,1.28423496027027,103.85898228297
Marina Square,Shop for fashion,electronics and toys,dine at family-friendly restaurants,Esplanade MRT,Central,Medium,High,4/5,Popular mall offering diverse shopping and dining options,Esplanade MRT Station,1.29159480494333,103.857048715656
Orchard Central,Shop at fashion and lifestyle outlets,explore vertical mall architecture,dine at rooftop restaurants,Somerset MRT,Central,Medium,High,4/5,Good for fashion and food,with a unique rooftop garden,1.30083890839245,103.839434733899
Plaza Singapura,Shop for mainstream fashion and music,catch movies at Golden Village,dine at basement eateries,Dhoby Ghaut MRT,Central,Medium,High,4/5,Convenient mall with a solid mix of retail and dining options,Dhoby Ghaut MRT Station,1.30082071769235,103.845067272938
Shaw House and Centre,Shop at Isetan department store,catch movies at Lido,dine at Orchard eateries,Orchard MRT,Central,Medium,High,4/5,Conveniently located with a mix of fashion and dining options,Orchard MRT Station,,
Suntec City,Shop across themed zones,dine at Fountain Terrace,attend events at the convention centre,Promenade MRT,Central,High,High,4.5/5,Large mall with extensive shopping,dining,1.29350132535558,103.857307495824
Wisma Atria,Shop at international fashion brands,dine at Food Republic,enjoy seamless Orchard MRT access,Orchard MRT,Central,Medium,High,4.5/5,Well-known for its high-end stores and convenient location,Orchard MRT Station,1.30370477426147,103.833205752808
AMK Hub,Shop at diverse retail outlets,dine at various eateries,catch the latest movies at Cathay Cineplex,Ang Mo Kio MRT,North,Medium,Medium,4/5,Convenient with a good variety of shops and eateries,though it can feel crowded at times,1.36925511350953,103.848464053097
Canberra Plaza,Enjoy family-friendly activities at the water play park,dine at A&W and other eateries,shop at various retail stores,Canberra MRT,North,Low,Low,3/5,A new,smaller mall that has potential but lacks a wide variety of stores and dining options,1.44349544527985,103.830345369213
Causeway Point,Shop at a wide range of retail outlets,dine at numerous restaurants,relax in the rooftop garden,Woodlands MRT,North,High,High,4.5/5,A bustling and well-rounded mall with a mix of retail,dining,1.43590007901468,103.785795816344
Junction Nine,Shop for fashion and lifestyle products,dine at various eateries,attend community events,Yishun MRT,North,Medium,Medium,3.5/5,A smaller and quieter mall with basic offerings,mostly catering to the local community,1.4331228398318,103.84166098599
Northpoint City,Shop at a vast array of retail stores,dine at numerous restaurants,participate in community events,Yishun MRT,North,High,High,5/5,A large and modern shopping center with a wide range of stores and services,perfect for families,1.42822560922688,103.836419992398
Sembawang Shopping Centre,Shop at diverse retail outlets,dine at various food establishments,enjoy family-friendly activities,Sembawang MRT,North,Low,Low,3.5/5,Practical and convenient for locals,though the mall is older and smaller with fewer retail options,1.44185325264629,103.824832415833
Sun Plaza,Shop at various retail stores,dine at multiple eateries,visit the Sembawang Public Library,Sembawang MRT,North,Low,Low,3/5,A simple,local mall with basic offerings,1.44823113453257,103.819523749458
Bedok Mall,Shop at diverse retail outlets,dine at various eateries,access essential services like supermarkets,Bedok MRT,East,Medium,Medium,4/5,Convenient location with a variety of shopping and dining options,but can get crowded during peak hours,1.32475054237912,103.92918919889
Century Square,Explore Japanese-themed stores like J-mart and Japan Home,dine at Japanese eateries such as Tonkotsu Kazan Ramen,enjoy family-friendly services and activity spaces,Tampines MRT,East,Medium,High,4.5/5,Great for families with a good mix of stores and entertainment options,Tampines MRT Station,1.35227804040128,103.943727694121
City Plaza,Shop for affordable fashion at blogshop outlets,dine at the original Arnold's Fried Chicken,discover vintage toys and traditional costumes,Paya Lebar MRT,East,Medium,Medium,3.5/5,A budget-friendly mall,but the older and dated feel may not appeal to everyone,1.31470866320366,103.893508573389
Changi City Point,Shop at various outlet stores,dine at diverse food establishments,relax in the rooftop garden,Expo MRT,East,Medium,Medium,4/5,Excellent for outlet shopping with a great location near Expo,but could offer more dining options,1.33408363820793,103.962946043413
Downtown East,Enjoy live music at Jyu Yae Live Music Bar & Restaurant,engage in horse-related activities at Gallop Stable,have fun prawning at Bait N Catch,Pasir Ris MRT,East,Low,High,4/5,A great spot for families with shopping,leisure,1.3765903645695,103.955689449482
Eastpoint Mall,Shop at a range of useful shops,dine at various eateries including Starbucks,access a large supermarket,Simei MRT,East,Medium,Medium,3.5/5,Smaller mall with limited variety,mostly serving the local community,1.34270592355576,103.953024618234
Jewel Changi Airport,Marvel at the Rain Vortex,explore Canopy Park attractions like Discovery Slides and Hedge Maze,indulge in a wide array of dining options,Changi Airport MRT,East,High,High,5/5,Iconic mall with stunning design,a wide range of shopping,1.36006289399606,103.989989170512
Katong Shopping Centre,Explore various retail outlets,dine at local eateries,experience the cultural ambiance of the Katong area,Eunos MRT,East,Medium,Medium,3.5/5,An older mall with a niche selection,great for local finds,1.30382040183737,103.901040040407
Kallang Wave Mall,Shop at sports and lifestyle stores,dine at numerous F&B outlets,engage in activities like rock climbing and e-sports,Kallang MRT,East,Medium,Medium,4/5,Sports-themed with good stores and dining options,though it can feel spacious and empty,1.30307515150401,103.873149707591
i12 Katong,Rock climb at Climb Central,enjoy movies at Golden Village,dine at various eateries including Bistro Bytes,Katong MRT,East,Medium,Medium,4/5,Cozy mall with a solid mix of retail and dining,perfect for the Katong area,1.30522306203042,103.905043928938
Our Tampines Hub,Swim in indoor/outdoor pools,run on the track,watch movies at the plaza,Tampines MRT,East,High,High,5/5,Well-integrated hub with shopping,entertainment,1.35218046898785,103.940598001519
Parkway Parade,Shop at a variety of retail stores,dine at numerous restaurants,enjoy proximity to East Coast Park for outdoor activities,Marine Parade MRT,East,Medium,Medium,4/5,Popular with a wide variety of stores and restaurants,though can be crowded at times,1.30106975506311,103.905279491524
Pasir Ris Mall,Shop at over 150 renowned brands,dine at various eateries,access services like Pasir Ris Polyclinic,Pasir Ris MRT,East,Low,Medium,3.5/5,Practical for local residents but lacks variety for those outside the area,Pasir Ris MRT Station,,
Pasir Ris West Plaza,Shop at local retail outlets,dine at neighborhood eateries,access essential services,Pasir Ris MRT,East,Low,Low,3/5,A small and quieter mall catering mostly to locals with basic offerings,Pasir Ris MRT Station,,
